model_id,benchmark,source_a,source_b,score_a,score_b,delta,n_shot_a,n_shot_b,harness_a,harness_b,prompt_template_a,prompt_template_b
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.16609,papers_2403.08295,0.356,0.453,-0.097,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-72B,GPQA,papers_2412.15115,papers_2505.09388,0.459,0.362,0.097,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,TriviaQA,papers_2310.06825,papers_2403.08295,0.699,0.796,-0.097,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2403.08295,papers_2405.19327,0.183,0.28,-0.097,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.05463,papers_2309.16609,0.453,0.356,0.097,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen1.5-32B,BBH,hfopenllm_v2,papers_2407.10671,0.5715,0.668,-0.0965,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
Qwen/Qwen1.5-32B,BBH,hfopenllm_v2,papers_2412.15115,0.5715,0.668,-0.0965,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
meta-llama/Llama-2-7b-hf,MBPP,papers_2403.08295,papers_2405.04324,0.208,0.304,-0.096,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3.1-70B,GSM8K,papers_2409.12122,papers_2505.09388,0.855,0.951,-0.096,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,MMLU,papers_2307.09288,papers_2403.17297,0.622,0.718,-0.096,5,5,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.05463,papers_2405.04324,0.208,0.304,-0.096,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2403.17297,papers_2406.11704,0.789,0.885,-0.096,unknown,10,opencompass,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,MMLU,papers_2307.09288,papers_2407.10671,0.622,0.718,-0.096,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3.1-70B,GSM8K,papers_2409.12122,papers_2412.15115,0.855,0.951,-0.096,8,8,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,GSM8K,helm_lite,papers_2402.16819,0.559,0.464,0.095,,8,helm,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2402.16819,papers_2403.08295,0.548,0.453,0.095,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,MBPP,papers_2403.17297,papers_2405.04324,0.389,0.294,0.095,3,unknown,opencompass,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,ARC-Challenge,papers_2407.10671,papers_2408.00118,0.593,0.688,-0.095,unknown,25,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,GSM8K,helm_lite,papers_2407.10671,0.559,0.464,0.095,,8,helm,lm-evaluation-harness,,
Qwen/Qwen2.5-0.5B,MBPP,papers_2412.15115,papers_2505.09388,0.393,0.298,0.095,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,MBPP,papers_2407.10671,papers_2412.15115,0.374,0.469,-0.095,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.05463,papers_2402.16819,0.453,0.548,-0.095,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B-Instruct,MATH,papers_2407.10671,papers_2409.12122,0.3458,0.251,0.0948,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-3B,GPQA,hfopenllm_v2,papers_2505.09388,0.2978,0.2031,0.0947,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
Qwen/Qwen2-7B,BBH,hfopenllm_v2,papers_2407.10671,0.5315,0.626,-0.0945,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
meta-llama/Llama-2-7b-hf,HellaSwag,papers_2402.16819,papers_2405.19327,0.807,0.7127,0.0943,10,10,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,HumanEval,papers_2309.05463,papers_2312.06550,0.0,0.0942,-0.0942,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2310.06825,papers_2406.11704,0.753,0.847,-0.094,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2402.16819,papers_2406.11704,0.753,0.847,-0.094,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2403.17297,papers_2406.11704,0.753,0.847,-0.094,unknown,5,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,NaturalQuestions,papers_2310.06825,papers_2501.00656,0.29,0.384,-0.094,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo-0613,Mean win rate,helm_classic,helm_instruct,0.783,0.689,0.094,,,helm,helm,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2403.08295,papers_2412.15115,0.548,0.642,-0.094,5,5,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,NaturalQuestions,papers_2403.08295,papers_2403.19887,0.232,0.326,-0.094,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2403.08295,papers_2407.10671,0.548,0.642,-0.094,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2312.06550,papers_2403.08295,0.6416,0.548,0.0936,5,5,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-4,DROP,papers_2303.08774,papers_2311.11045,0.809,0.7159,0.0931,unknown,unknown,openai_evals,lm-evaluation-harness,,
openai/gpt-3.5-turbo,HellaSwag,papers_2403.04652,papers_2403.17297,0.795,0.702,0.093,10,unknown,lm-evaluation-harness,opencompass,,
Qwen/Qwen-14B,WinoGrande,papers_2312.15166,papers_2403.17297,0.768,0.675,0.093,5,unknown,lm-evaluation-harness,opencompass,,
google/Gemma2-27B,GSM8K,papers_2412.15115,papers_2505.09388,0.811,0.904,-0.093,8,8,lm-evaluation-harness,lm-evaluation-harness,,
anthropic/claude-v1.3,Mean win rate,helm_instruct,helm_lite,0.611,0.518,0.093,,,helm,helm,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2403.08295,papers_2405.19327,0.548,0.6404,-0.0924,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-7B,BBH,papers_2402.16819,papers_2407.10671,0.534,0.626,-0.092,3,3,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2310.06825,papers_2403.08295,0.131,0.039,0.092,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2403.08295,papers_2407.10671,0.039,0.131,-0.092,4,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2403.08295,papers_2403.17297,0.548,0.64,-0.092,5,5,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-7B,BBH,hfopenllm_v2,papers_2412.15115,0.5315,0.623,-0.0915,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2403.08295,papers_2403.17297,0.183,0.274,-0.091,0,0,lm-evaluation-harness,opencompass,,
google/gemma-2b,HumanEval,papers_2408.12570,papers_2411.04905,0.402,0.311,0.091,0,0,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,HumanEval,papers_2407.10671,papers_2411.04905,0.22,0.311,-0.091,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,HumanEval,papers_2407.10671,papers_2505.09388,0.22,0.311,-0.091,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-3.2-1B,BBH,hfopenllm_v2,papers_2501.00656,0.3115,0.402,-0.0905,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
meta-llama/Llama-2-7b-hf,MBPP,papers_2312.06550,papers_2405.19327,0.2009,0.291,-0.0901,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta/llama-3.3-70b-instruct-turbo,Mean win rate,helm_lite,helm_mmlu,0.812,0.722,0.09,,,helm,helm,,
mistralai/Mixtral-8x7B-v0.1,NaturalQuestions,papers_2401.04088,papers_2403.17297,0.306,0.396,-0.09,unknown,unknown,lm-evaluation-harness,opencompass,,
amazon/nova-pro-v1:0,Mean win rate,helm_lite,helm_mmlu,0.885,0.975,-0.09,,,helm,helm,,
mistralai/Mixtral-8x7B-v0.1,MMLU,papers_2307.09288,papers_2312.15166,0.622,0.7116,-0.0896,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,TriviaQA,papers_2310.06825,papers_2403.17297,0.696,0.607,0.089,unknown,unknown,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-7B,BBH,papers_2402.16819,papers_2412.15115,0.534,0.623,-0.089,3,3,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3-8B,MGSM,papers_2210.11416,papers_2505.09388,0.301,0.3892,-0.0882,unknown,unknown,unknown,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2403.08295,papers_2408.00118,0.039,0.127,-0.088,4,4,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.16609,papers_2401.04088,0.356,0.444,-0.088,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.16609,papers_2310.06825,0.356,0.444,-0.088,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-72B,MMLU-Pro,papers_2407.10671,papers_2505.09388,0.556,0.644,-0.088,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2401.04088,papers_2403.08295,0.127,0.039,0.088,unknown,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2312.06550,papers_2403.17297,0.3878,0.475,-0.0872,3,3,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2310.06825,papers_2312.06550,0.475,0.3878,0.0872,3,3,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2312.06550,papers_2403.17297,0.2009,0.288,-0.0871,3,3,lm-evaluation-harness,opencompass,,
Qwen/Qwen2-72B,MMLU-Pro,papers_2412.15115,papers_2505.09388,0.557,0.644,-0.087,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2403.08295,papers_2501.00656,0.548,0.635,-0.087,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-72B,MBPP,papers_2412.15115,papers_2505.09388,0.847,0.76,0.087,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
openai/gpt-3.5-turbo,HellaSwag,papers_2302.13971,papers_2403.17297,0.789,0.702,0.087,10,unknown,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,ARC-Easy,papers_2401.04088,papers_2402.16819,0.687,0.773,-0.086,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-Turbo,MBPP,papers_2412.15115,papers_2505.09388,0.762,0.676,0.086,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Easy,papers_2310.06825,papers_2402.16819,0.687,0.773,-0.086,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B,HumanEval,papers_2412.15115,papers_2505.09388,0.226,0.311,-0.085,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2310.06825,papers_2501.00656,0.288,0.372,-0.084,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,GSM8K,papers_2401.04088,papers_2403.17297,0.744,0.66,0.084,8,8,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.16609,papers_2310.06825,0.177,0.261,-0.084,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.16609,papers_2401.04088,0.177,0.261,-0.084,unknown,3,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,MMLU,papers_2307.09288,papers_2401.04088,0.622,0.706,-0.084,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-70b-hf,MMLU,papers_2312.15166,papers_2407.21783,0.6983,0.782,-0.0837,5,5,lm-evaluation-harness,lm-evaluation-harness,,
tiiuae/falcon-7b,TruthfulQA,papers_2307.09288,papers_2312.06550,0.2595,0.3426,-0.0831,0,0,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2403.08295,papers_2405.19327,0.208,0.291,-0.083,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-70b-hf,MMLU,papers_2401.04088,papers_2407.21783,0.699,0.782,-0.083,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.05463,papers_2405.19327,0.208,0.291,-0.083,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,TriviaQA,papers_2310.06825,papers_2403.08295,0.638,0.721,-0.083,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-2b,BBH,hfopenllm_v2,papers_2408.00118,0.3366,0.419,-0.0824,3,3,lighteval,lm-evaluation-harness,lighteval/bbh,
meta-llama/Llama-2-7b-hf,MMLU,papers_2309.16609,papers_2312.06550,0.356,0.438,-0.082,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,NaturalQuestions,papers_2401.04088,papers_2403.08295,0.175,0.257,-0.082,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,AGIEval,papers_2403.08295,papers_2501.00656,0.391,0.473,-0.082,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2312.06550,papers_2403.08295,0.3878,0.306,0.0818,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,ARC-Challenge,papers_2403.08295,papers_2407.14885,0.494,0.4123,0.0817,25,25,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mixtral-8x7B-v0.1,MATH,papers_2403.17297,papers_2407.10671,0.227,0.308,-0.081,4,4,opencompass,lm-evaluation-harness,,
Qwen/Qwen2-0.5B-Instruct,MATH,papers_2407.10671,papers_2505.09388,0.212,0.1316,0.0804,4,4,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-0.5B-Instruct,MATH,papers_2407.10671,papers_2412.15115,0.212,0.1316,0.0804,4,4,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MBPP,papers_2312.06550,papers_2405.19327,0.3878,0.468,-0.0802,3,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,BBH,papers_2210.11416,papers_2403.17297,0.552,0.472,0.08,unknown,3,unknown,opencompass,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2401.04088,papers_2403.08295,0.232,0.312,-0.08,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,AGIEval,papers_2403.08295,papers_2403.17297,0.293,0.213,0.08,unknown,unknown,lm-evaluation-harness,opencompass,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2407.21783,papers_2505.09388,0.586,0.666,-0.08,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2403.08295,papers_2408.00118,0.312,0.232,0.08,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2402.16819,papers_2403.17297,0.548,0.468,0.08,5,5,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MMLU,papers_2402.16819,papers_2405.19327,0.548,0.468,0.08,5,5,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2309.05463,papers_2403.17297,0.208,0.288,-0.08,unknown,3,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2403.08295,papers_2403.17297,0.208,0.288,-0.08,unknown,3,lm-evaluation-harness,opencompass,,
meta-llama/Meta-Llama-3-8B,MMLU,papers_2407.10671,papers_2407.21783,0.666,0.586,0.08,5,5,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2403.17297,papers_2408.00118,0.475,0.396,0.079,8,8,opencompass,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2403.17297,papers_2408.00118,0.311,0.232,0.079,unknown,unknown,opencompass,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,TriviaQA,papers_2310.06825,papers_2403.17297,0.638,0.559,0.079,unknown,unknown,lm-evaluation-harness,opencompass,,
meta-llama/Meta-Llama-3-8B,WinoGrande,papers_2407.10671,papers_2408.00118,0.774,0.853,-0.079,unknown,5,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,ARC-Challenge,papers_2402.16819,papers_2407.10671,0.532,0.611,-0.079,25,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,NaturalQuestions,papers_2401.04088,papers_2403.17297,0.232,0.311,-0.079,unknown,unknown,lm-evaluation-harness,opencompass,,
google/gemma-7b,ARC-Challenge,papers_2403.19887,papers_2407.10671,0.532,0.611,-0.079,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/mistral-7b-v0.1,Mean win rate,helm_lite,helm_mmlu,0.292,0.213,0.079,,,helm,helm,,
mistralai/Mistral-7B-v0.1,HumanEval,papers_2403.08295,papers_2408.00118,0.183,0.262,-0.079,0,0,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,IFEval,hfopenllm_v2,papers_2407.10671,0.2113,0.29,-0.0787,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2-1.5B,IFEval,hfopenllm_v2,papers_2412.15115,0.2113,0.29,-0.0787,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
Qwen/Qwen2-1.5B,IFEval,hfopenllm_v2,papers_2505.09388,0.2113,0.29,-0.0787,0,0,lighteval,lm-evaluation-harness,lighteval/ifeval,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2405.19327,papers_2408.00118,0.4746,0.396,0.0786,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3.1-405B,GSM8K,papers_2409.12122,papers_2505.09388,0.89,0.968,-0.078,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Meta-Llama-3.1-405B,GSM8K,papers_2409.12122,papers_2412.15115,0.89,0.968,-0.078,8,8,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,HumanEval,papers_2302.13971,papers_2402.16819,0.105,0.183,-0.078,0,0,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2403.08295,papers_2406.11704,0.807,0.885,-0.078,10,10,lm-evaluation-harness,lm-evaluation-harness,,
qwen/qwen1.5-32b,Mean win rate,helm_lite,helm_mmlu,0.546,0.624,-0.078,,,helm,helm,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2403.08295,papers_2408.00118,0.548,0.625,-0.077,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-14B,MBPP,papers_2412.15115,papers_2505.09388,0.767,0.69,0.077,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2302.13971,papers_2403.17297,0.365,0.288,0.077,unknown,3,lm-evaluation-harness,opencompass,,
mistralai/Mistral-7B-v0.1,MMLU,papers_2401.04088,papers_2403.08295,0.625,0.548,0.077,5,5,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-32B,GPQA,hfopenllm_v2,papers_2505.09388,0.4119,0.3355,0.0764,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
mistralai/Mixtral-8x7B-v0.1,HellaSwag,papers_2307.09288,papers_2312.15166,0.8,0.8763,-0.0763,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Easy,papers_2309.05463,papers_2310.06825,0.763,0.687,0.076,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
google/PaLM,ARC-Challenge,papers_2302.13971,papers_2305.10403,0.525,0.601,-0.076,25,unknown,lm-evaluation-harness,unknown,,
unknown/SmolLM2-1.7B,BBH,papers_2501.00656,papers_2502.02737,0.398,0.322,0.076,3,3,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Easy,papers_2309.05463,papers_2401.04088,0.763,0.687,0.076,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,WinoGrande,papers_2312.15166,papers_2406.11704,0.7719,0.847,-0.0751,5,5,lm-evaluation-harness,lm-evaluation-harness,,
google/gemma-7b,MMLU,helm_lite,papers_2407.10671,0.571,0.646,-0.075,,5,helm,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2401.04088,papers_2406.11704,0.81,0.885,-0.075,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2404.05892,papers_2406.11704,0.81,0.885,-0.075,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2403.08295,papers_2412.15115,0.287,0.362,-0.075,11,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2.5-14B,GPQA,hfopenllm_v2,papers_2505.09388,0.3817,0.3068,0.0749,0,0,lighteval,lm-evaluation-harness,lighteval/gpqa,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2312.15166,papers_2403.17297,0.4003,0.475,-0.0747,8,8,lm-evaluation-harness,opencompass,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2309.05463,papers_2405.19327,0.434,0.3593,0.0747,25,25,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2312.15166,papers_2405.19327,0.4003,0.4746,-0.0743,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,MATH,papers_2403.08295,papers_2403.17297,0.039,0.113,-0.074,4,4,lm-evaluation-harness,opencompass,,
google/Gemma2-9B,MMLU-Pro,papers_2412.15115,papers_2505.09388,0.447,0.521,-0.074,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,MBPP,papers_2302.13971,papers_2405.19327,0.365,0.291,0.074,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,TriviaQA,papers_2310.06825,papers_2408.00118,0.699,0.625,0.074,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2403.17297,papers_2501.00656,0.475,0.401,0.074,8,8,opencompass,lm-evaluation-harness,,
openai/gpt-4,GSM8K,papers_2311.11045,papers_2409.12122,0.8552,0.929,-0.0738,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,GSM8K,papers_2405.19327,papers_2501.00656,0.4746,0.401,0.0736,8,8,lm-evaluation-harness,lm-evaluation-harness,,
Qwen/Qwen2-1.5B,HumanEval,papers_2412.15115,papers_2505.09388,0.348,0.421,-0.073,0,0,lm-evaluation-harness,lm-evaluation-harness,,
google/PaLM,MATH,papers_2302.13971,papers_2305.10403,0.015,0.088,-0.073,unknown,unknown,lm-evaluation-harness,unknown,,
openai/gpt-4o-mini-2024-07-18,Mean win rate,helm_lite,helm_mmlu,0.701,0.774,-0.073,,,helm,helm,,
Qwen/Qwen2-7B,MBPP,papers_2412.15115,papers_2505.09388,0.599,0.672,-0.073,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2310.06825,papers_2405.19327,0.432,0.3593,0.0727,25,25,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,ARC-Challenge,papers_2401.04088,papers_2405.19327,0.432,0.3593,0.0727,25,25,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,BoolQ,papers_2309.05463,papers_2405.19327,0.779,0.7067,0.0723,0,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,NaturalQuestions,papers_2310.06825,papers_2401.04088,0.247,0.175,0.072,unknown,unknown,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-13b-hf,MBPP,papers_2310.06825,papers_2402.19173,0.354,0.426,-0.072,3,unknown,lm-evaluation-harness,bigcode-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2309.16609,papers_2405.04324,0.11,0.038,0.072,8,8,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2402.16819,papers_2406.11704,0.813,0.885,-0.072,10,10,lm-evaluation-harness,lm-evaluation-harness,,
mistralai/Mistral-7B-v0.1,HellaSwag,papers_2310.06825,papers_2406.11704,0.813,0.885,-0.072,10,10,lm-evaluation-harness,lm-evaluation-harness,,
meta-llama/Llama-2-7b-hf,GSM8K,papers_2302.13971,papers_2405.04324,0.11,0.038,0.072,8,8,lm-evaluation-harness,lm-evaluation-harness,,
